date,eq_A_BuyHold,alloc_A_BuyHold,eq_B_BaselineGate,alloc_B_BaselineGate,eq_C_System2_abs,alloc_C_System2_abs,eq_C2_System2_argmax,alloc_C2_System2_argmax,eq_C3_System2_rank,alloc_C3_System2_rank,eq_D_SingleFeat,alloc_D_SingleFeat
2008-05-16,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2008-05-19,1.0106323410612337,1.0,1.0106323410612337,1.0,1.0106323410612337,1.0,1.0106323410612337,1.0,1.0106323410612337,1.0,1.0106323410612337,1.0
2008-05-20,0.9860265009388512,1.0,0.9860265009388512,1.0,0.9860265009388512,1.0,0.9860265009388512,1.0,0.9860265009388512,1.0,0.9860265009388512,1.0
2008-05-21,0.980229216703398,1.0,0.980229216703398,1.0,0.980229216703398,1.0,0.980229216703398,1.0,0.980229216703398,1.0,0.980229216703398,1.0
2008-05-22,0.979409420695609,1.0,0.979409420695609,1.0,0.979409420695609,1.0,0.979409420695609,1.0,0.979409420695609,1.0,0.979409420695609,1.0
2008-05-23,0.9605671596677761,1.0,0.9605671596677761,1.0,0.9605671596677761,1.0,0.9605671596677761,1.0,0.9605671596677761,1.0,0.9605671596677761,1.0
2008-05-26,0.946769797149415,1.0,0.946769797149415,0.5,0.946769797149415,1.0,0.946769797149415,1.0,0.946769797149415,1.0,0.946769797149415,1.0
2008-05-27,0.9544415221241632,1.0,0.950605659636789,0.5,0.9544415221241632,1.0,0.9544415221241632,1.0,0.9544415221241632,1.0,0.9544415221241632,1.0
2008-05-28,0.9421924215621572,1.0,0.9445057236795873,0.5,0.9421924215621572,1.0,0.9421924215621572,1.0,0.9421924215621572,1.0,0.9421924215621572,1.0
2008-05-29,0.9442788785103633,1.0,0.9455515135228788,0.5,0.9442788785103633,1.0,0.9442788785103633,1.0,0.9442788785103633,1.0,0.9442788785103633,1.0
2008-05-30,0.9371203414874406,1.0,0.9419674211161355,0.5,0.9371203414874406,1.0,0.9371203414874406,1.0,0.9371203414874406,1.0,0.9371203414874406,1.0
2008-06-02,0.948579002132122,1.0,0.947726385327596,0.5,0.948579002132122,1.0,0.948579002132122,1.0,0.948579002132122,1.0,0.948579002132122,1.0
2008-06-03,0.9328093452395839,1.0,0.9398486440477295,0.5,0.9328093452395839,1.0,0.9328093452395839,1.0,0.9328093452395839,1.0,0.9328093452395839,1.0
2008-06-04,0.938068434483186,1.0,0.9424980321138706,0.5,0.938068434483186,1.0,0.938068434483186,1.0,0.938068434483186,1.0,0.938068434483186,1.0
2008-06-05,0.9501000825232321,1.0,0.9485422631017077,0.5,0.9501000825232321,1.0,0.9501000825232321,1.0,0.9501000825232321,1.0,0.9501000825232321,1.0
2008-06-06,0.9508492064613843,1.0,0.9489162109250525,0.5,0.9508492064613843,1.0,0.9508492064613843,1.0,0.9508492064613843,1.0,0.9508492064613843,1.0
2008-06-09,0.933736780245743,1.0,0.9403773918704982,0.5,0.933736780245743,1.0,0.933736780245743,1.0,0.933736780245743,1.0,0.933736780245743,1.0
2008-06-10,0.9100388044025438,1.0,0.9284441355248646,0.5,0.9100388044025438,1.0,0.9100388044025438,1.0,0.9100388044025438,1.0,0.9100388044025438,1.0
2008-06-11,0.9073847963720222,1.0,0.9270902931504225,0.5,0.9073847963720222,1.0,0.9073847963720222,1.0,0.9073847963720222,1.0,0.9073847963720222,1.0
2008-06-12,0.8765848211616096,1.0,0.9113558670497124,0.5,0.8765848211616096,1.0,0.8765848211616096,1.0,0.8765848211616096,1.0,0.8765848211616096,1.0
2008-06-13,0.8812904937368237,1.0,0.9138020321020306,0.5,0.8812904937368237,1.0,0.8812904937368237,1.0,0.8812904937368237,1.0,0.8812904937368237,1.0
2008-06-16,0.8882685451665195,1.0,0.9174197708736874,0.5,0.8882685451665195,1.0,0.8882685451665195,1.0,0.8882685451665195,1.0,0.8882685451665195,1.0
2008-06-17,0.891749960043099,1.0,0.9192176049047175,0.5,0.891749960043099,1.0,0.891749960043099,1.0,0.891749960043099,1.0,0.891749960043099,1.0
2008-06-18,0.893466747703973,1.0,0.9201024389459111,0.5,0.893466747703973,1.0,0.893466747703973,1.0,0.893466747703973,1.0,0.893466747703973,1.0
2008-06-19,0.875000679539131,1.0,0.9105941531591848,0.5,0.875000679539131,1.0,0.875000679539131,1.0,0.875000679539131,1.0,0.875000679539131,1.0
2008-06-20,0.8592027538187379,1.0,0.9023738745185956,0.5,0.8592027538187379,1.0,0.8592027538187379,1.0,0.8592027538187379,1.0,0.8592027538187379,1.0
2008-06-23,0.8563813073463071,1.0,0.9008922687080007,0.5,0.8563813073463071,1.0,0.8563813073463071,1.0,0.8563813073463071,1.0,0.8563813073463071,1.0
2008-06-24,0.8413368546145055,1.0,0.8929790698579338,0.5,0.8413368546145055,1.0,0.8413368546145055,1.0,0.8413368546145055,1.0,0.8413368546145055,1.0
2008-06-25,0.8540513035735059,1.0,0.8997265080230945,0.5,0.8540513035735059,1.0,0.8540513035735059,1.0,0.8540513035735059,1.0,0.8540513035735059,1.0
2008-06-26,0.8493478055235113,1.0,0.8972489859712528,0.5,0.8493478055235113,1.0,0.8493478055235113,1.0,0.8493478055235113,1.0,0.8493478055235113,1.0
2008-06-27,0.8207484498353339,1.0,0.8821428405713528,0.5,0.8207484498353339,1.0,0.8207484498353339,1.0,0.8207484498353339,1.0,0.8207484498353339,1.0
2008-06-30,0.8180063735334184,1.0,0.8806692447463954,0.5,0.8180063735334184,1.0,0.8180063735334184,1.0,0.8180063735334184,1.0,0.8180063735334184,1.0
2008-07-01,0.8054419668145704,1.0,0.873905797092572,0.5,0.8054419668145704,1.0,0.8054419668145704,1.0,0.8054419668145704,1.0,0.8054419668145704,1.0
2008-07-02,0.7995577015703331,1.0,0.8707135785837039,0.5,0.7995577015703331,1.0,0.7995577015703331,1.0,0.7995577015703331,1.0,0.7995577015703331,1.0
2008-07-03,0.8039328463121682,1.0,0.8730958318766826,0.5,0.8039328463121682,1.0,0.8039328463121682,1.0,0.8039328463121682,1.0,0.8039328463121682,1.0
2008-07-04,0.7859179921303932,1.0,0.8633134886311458,0.5,0.7859179921303932,1.0,0.7859179921303932,1.0,0.7859179921303932,1.0,0.7859179921303932,1.0
2008-07-07,0.7981714417428385,1.0,0.8700435599863074,0.5,0.7981714417428385,1.0,0.7981714417428385,1.0,0.7981714417428385,1.0,0.7981714417428385,1.0
2008-07-08,0.7667212834917657,1.0,0.852902500925645,0.5,0.7667212834917657,1.0,0.7667212834917657,1.0,0.7667212834917657,1.0,0.7667212834917657,1.0
2008-07-09,0.7663298689522376,1.0,0.8526847957133012,0.5,0.7663298689522376,1.0,0.7663298689522376,1.0,0.7663298689522376,1.0,0.7663298689522376,1.0
2008-07-10,0.7693089685030895,1.0,0.8543421974373139,0.5,0.7693089685030895,1.0,0.7693089685030895,1.0,0.7693089685030895,1.0,0.7693089685030895,1.0
2008-07-11,0.7876956664974163,1.0,0.8645517053276579,0.5,0.7876956664974163,1.0,0.7876956664974163,1.0,0.7876956664974163,1.0,0.7876956664974163,1.0
