Price,Adj Close,Close,High,Low,Open,Volume
Ticker,3293.TWO,3293.TWO,3293.TWO,3293.TWO,3293.TWO,3293.TWO
Date,,,,,,
2015-12-29,18.19839859008789,31.0,31.5,30.5,31.125,9361944
2015-12-30,18.34516143798828,31.25,31.625,30.75,31.25,8357144
2015-12-31,18.85882568359375,32.125,32.5,31.25,31.375,16148840
2016-01-04,18.785444259643555,32.0,33.125,31.875,32.5,17116820
2016-01-05,17.61135482788086,30.0,32.25,29.625,32.125,16881752
2016-01-06,17.83149528503418,30.375,30.625,29.375,30.375,11942268
2016-01-07,17.024307250976562,29.0,31.125,28.125,31.0,14530416
2016-01-08,18.71206283569336,31.875,31.875,30.125,30.25,17740312
2016-01-11,20.399818420410156,34.75,34.875,32.75,32.75,28264184
2016-01-12,18.638681411743164,31.75,36.25,31.375,35.375,28935228
2016-01-13,19.00558853149414,32.375,32.875,31.375,32.375,10762052
2016-01-14,18.785444259643555,32.0,32.25,31.0,32.0,6905360
2016-01-15,18.0516357421875,30.75,32.75,30.75,32.75,6993760
2016-01-18,19.078968048095703,32.5,32.5,29.5,30.625,10194040
2016-01-19,20.986862182617188,35.75,35.75,33.0,33.0,22365856
2016-01-20,20.106298446655273,34.25,36.125,33.875,35.625,18420292
2016-01-21,21.13362693786621,36.0,37.25,34.25,35.25,28813540
2016-01-22,20.840103149414062,35.5,36.75,35.25,36.5,11630896
2016-01-25,20.840103149414062,35.5,36.5,35.125,36.375,6416884
2016-01-26,21.720672607421875,37.0,37.75,35.25,35.625,18116660
2016-01-27,22.307716369628906,38.0,38.5,36.75,37.125,17411136
2016-01-28,22.234336853027344,37.875,39.0,37.0,38.0,13371600
2016-01-29,22.307716369628906,38.0,38.625,37.25,38.375,8334860
2016-02-01,23.92209243774414,40.75,41.25,40.25,40.5,9699776
2016-02-02,26.27027130126953,44.75,44.75,40.375,41.25,16422852
2016-02-03,26.783935546875,45.625,47.25,44.125,44.5,29418764
2016-02-15,28.618453979492188,48.75,48.75,46.5,47.25,17054232
2016-02-16,28.104787826538086,47.875,48.75,46.75,48.25,11771216
2016-02-17,28.838592529296875,49.125,49.75,47.0,47.875,10857404
2016-02-18,29.645782470703125,50.5,52.0,49.375,50.5,16244108
2016-02-19,32.58100509643555,55.5,55.5,50.25,50.75,22681208
2016-02-22,35.80975341796875,61.0,61.0,55.875,55.875,21745872
2016-02-23,35.149330139160156,59.875,64.0,59.875,60.25,24126248
2016-02-24,32.72776794433594,55.75,61.625,54.75,60.25,28761600
2016-02-25,34.63566207885742,59.0,61.25,56.5,56.875,23050832
2016-02-26,35.0025634765625,59.625,61.5,59.0,60.125,13717304
2016-03-01,35.22270965576172,60.0,61.0,58.875,60.625,9976116
2016-03-02,35.80975341796875,61.0,62.875,59.375,60.75,16016572
2016-03-03,36.54356002807617,62.25,63.625,60.625,61.875,15219360
2016-03-04,36.32341766357422,61.875,64.5,61.875,63.75,17336208
2016-03-07,33.755096435546875,57.5,60.625,56.625,60.25,20479356
2016-03-08,34.268760681152344,58.375,59.25,57.625,58.75,9452648
2016-03-09,34.415523529052734,58.625,59.5,56.0,58.875,14137372
2016-03-10,36.983848571777344,63.0,63.375,57.5,58.875,23115652
2016-03-11,35.66299057006836,60.75,63.875,60.75,62.5,13947564
2016-03-14,38.965126037597656,66.375,66.375,61.25,61.625,25622616
2016-03-15,36.39679718017578,62.0,65.875,62.0,65.125,16546912
2016-03-16,36.02989959716797,61.375,63.375,60.25,62.75,14339984
2016-03-17,34.56228256225586,58.875,63.625,57.5,62.875,20803496
2016-03-18,36.103271484375,61.5,61.625,57.0,59.0,17732724
2016-03-21,35.5896110534668,60.625,63.875,60.625,63.0,13958676
2016-03-22,37.203983306884766,63.375,63.375,60.125,60.875,17018056
2016-03-23,36.54356002807617,62.25,64.5,62.25,64.0,14099820
2016-03-24,36.39679718017578,62.0,63.75,61.875,62.5,7866760
2016-03-25,36.103271484375,61.5,62.875,60.875,62.75,9573760
2016-03-28,37.57088851928711,64.0,64.25,60.375,62.0,15541264
2016-03-29,41.239925384521484,70.25,70.25,64.5,64.5,38341488
2016-03-30,41.826969146728516,71.25,73.0,70.25,72.0,22632504
2016-03-31,40.726253509521484,69.375,70.625,68.5,70.5,11965848
2016-04-01,41.09316635131836,70.0,72.375,68.75,69.5,14548044
2016-04-06,42.26725387573242,72.0,72.0,68.875,69.5,9679400
2016-04-07,43.1478271484375,73.5,75.5,72.5,72.5,17730452
2016-04-08,43.588104248046875,74.25,74.625,72.75,74.125,8445272
2016-04-11,43.44134521484375,74.0,77.0,74.0,75.125,14042160
2016-04-12,39.91907501220703,68.0,73.125,67.0,73.125,8668948
2016-04-13,43.88162612915039,74.75,74.75,69.125,69.125,9150676
2016-04-14,43.73486328125,74.5,77.0,73.25,77.0,7370668
2016-04-15,44.46867370605469,75.75,77.0,73.5,73.5,6814296
2016-04-18,44.8355712890625,76.375,79.0,75.625,77.25,8636968
2016-04-19,45.3492431640625,77.25,78.375,76.25,77.5,5907600
2016-04-20,46.37657165527344,79.0,79.5,77.0,78.5,7164252
2016-04-21,46.37657165527344,79.0,80.5,78.0,79.75,8545064
2016-04-22,46.52333068847656,79.25,80.5,75.0,80.0,8343296
2016-04-25,42.56077575683594,72.5,73.75,71.375,71.375,1620776
2016-04-26,43.00105285644531,73.25,74.5,69.75,73.75,1061740
2016-04-27,41.826969146728516,71.25,72.5,71.25,72.125,597556
2016-04-28,40.35935974121094,68.75,70.0,67.25,70.0,1972716
2016-04-29,40.35935974121094,68.75,68.75,67.5,67.5,1032732
2016-05-03,41.826969146728516,71.25,71.25,68.625,68.75,957520
2016-05-04,43.00105285644531,73.25,73.75,71.875,71.875,1268600
2016-05-05,44.028377532958984,75.0,75.0,73.75,73.75,1220616
2016-05-06,41.31330490112305,70.375,76.125,70.0,76.125,2033472
2016-05-09,41.09316635131836,70.0,71.125,65.75,69.5,1343416
2016-05-10,42.34063720703125,72.125,72.375,66.0,70.5,12922860
2016-05-11,38.157936096191406,65.0,73.75,65.0,73.0,13062264
2016-05-12,34.34214401245117,58.5,63.75,58.5,62.5,16074516
2016-05-13,37.64427185058594,64.125,64.25,57.75,59.25,28863468
2016-05-16,36.616939544677734,62.375,64.5,61.25,64.0,11574140
2016-05-17,37.7176513671875,64.25,64.75,62.375,63.0,11134356
2016-05-18,38.52483367919922,65.625,65.875,62.625,63.625,10101816
2016-05-19,38.818363189697266,66.125,68.5,66.0,66.25,12655584
2016-05-20,38.7449836730957,66.0,67.625,64.25,66.875,10807460
2016-05-23,42.56077575683594,72.5,72.5,66.25,67.25,18510456
2016-05-24,42.92767333984375,73.125,76.75,72.75,73.0,16764084
2016-05-25,43.1478271484375,73.5,76.0,73.0,74.625,12043744
